# columns: m1/T[GeV^-1]	<sigmaV>(GeV^-2)
7.68725952e+16	3.78766828e-21
8.46945981e+16	1.57531203e-21
9.33125118e+16	5.96317123e-22
1.02807322e+17	2.03460545e-22
1.13268257e+17	0.00000000e+00
1.24793621e+17	0.00000000e+00
1.37491723e+17	0.00000000e+00
1.51481892e+17	0.00000000e+00
1.66895601e+17	0.00000000e+00
1.83877698e+17	0.00000000e+00
2.02587771e+17	0.00000000e+00
2.23201647e+17	0.00000000e+00
2.45913043e+17	0.00000000e+00
2.70935387e+17	0.00000000e+00
2.98503825e+17	0.00000000e+00
3.28877429e+17	0.00000000e+00
3.62341632e+17	0.00000000e+00
3.99210913e+17	0.00000000e+00
4.39831747e+17	0.00000000e+00
4.84585864e+17	0.00000000e+00
5.33893840e+17	0.00000000e+00
5.88219040e+17	0.00000000e+00
6.48071983e+17	0.00000000e+00
7.14015130e+17	0.00000000e+00
7.86668179e+17	0.00000000e+00
8.66713880e+17	0.00000000e+00
9.54904456e+17	0.00000000e+00
1.05206867e+18	0.00000000e+00
1.15911962e+18	0.00000000e+00
1.27706330e+18	0.00000000e+00
1.40700809e+18	0.00000000e+00
1.55017512e+18	0.00000000e+00
1.70790980e+18	0.00000000e+00
1.88169442e+18	0.00000000e+00
2.07316213e+18	0.00000000e+00
2.28411221e+18	0.00000000e+00
2.51652705e+18	0.00000000e+00
2.77259076e+18	0.00000000e+00
3.05470967e+18	0.00000000e+00
3.36553498e+18	0.00000000e+00
3.70798763e+18	0.00000000e+00
4.08528580e+18	0.00000000e+00
4.50097513e+18	0.00000000e+00
4.95896201e+18	0.00000000e+00
5.46355035e+18	0.00000000e+00
6.01948197e+18	0.00000000e+00
6.63198120e+18	0.00000000e+00
7.30680395e+18	0.00000000e+00
8.05029181e+18	0.00000000e+00
8.86943166e+18	0.00000000e+00
9.77192128e+18	0.00000000e+00
1.07662418e+19	0.00000000e+00
1.18617372e+19	0.00000000e+00
1.30687023e+19	0.00000000e+00
1.43984795e+19	0.00000000e+00
1.58635653e+19	0.00000000e+00
1.74777277e+19	0.00000000e+00
1.92561357e+19	0.00000000e+00
2.12155017e+19	0.00000000e+00
2.33742387e+19	0.00000000e+00
2.57526333e+19	0.00000000e+00
2.83730362e+19	0.00000000e+00
3.12600724e+19	0.00000000e+00
3.44408728e+19	0.00000000e+00
3.79453285e+19	0.00000000e+00
4.18063724e+19	0.00000000e+00
4.60602884e+19	0.00000000e+00
5.07470524e+19	0.00000000e+00
5.59107078e+19	0.00000000e+00
6.15997796e+19	0.00000000e+00
6.78677305e+19	0.00000000e+00
7.47734631e+19	0.00000000e+00
8.23818733e+19	0.00000000e+00
9.07644607e+19	0.00000000e+00
1.00000000e+20	0.00000000e+00
